{'type': 'down', 'input': 'a', 'position': Point(x=763, y=330), 'timestamp': 1697363616.529684}
{'type': 'up', 'input': None, 'position': Point(x=763, y=330), 'timestamp': 1697363616.6213229}
{'type': 'down', 'input': 'backspace', 'position': Point(x=763, y=330), 'timestamp': 1697363616.822866}
{'type': 'up', 'input': None, 'position': Point(x=763, y=330), 'timestamp': 1697363616.9093673}
{'type': 'down', 'input': 'right alt', 'position': Point(x=763, y=330), 'timestamp': 1697363617.063821}
{'type': 'up', 'input': None, 'position': Point(x=763, y=330), 'timestamp': 1697363617.128524}
{'type': 'down', 'input': 'a', 'position': Point(x=763, y=330), 'timestamp': 1697363617.1587899}
{'type': 'up', 'input': None, 'position': Point(x=763, y=330), 'timestamp': 1697363617.2450132}
{'type': 'down', 'input': 'o', 'position': Point(x=763, y=330), 'timestamp': 1697363617.2742672}
{'type': 'up', 'input': None, 'position': Point(x=763, y=330), 'timestamp': 1697363617.3438926}
{'type': 'down', 'input': 'z', 'position': Point(x=763, y=330), 'timestamp': 1697363617.368547}
{'type': 'down', 'input': 'm', 'position': Point(x=763, y=330), 'timestamp': 1697363617.4674425}
{'type': 'up', 'input': None, 'position': Point(x=763, y=330), 'timestamp': 1697363617.470956}
{'type': 'up', 'input': None, 'position': Point(x=763, y=330), 'timestamp': 1697363617.5420609}
{'type': 'down', 'input': 'f', 'position': Point(x=763, y=330), 'timestamp': 1697363617.5520315}
{'type': 'down', 'input': 'h', 'position': Point(x=763, y=330), 'timestamp': 1697363617.6441908}
{'type': 'up', 'input': None, 'position': Point(x=763, y=330), 'timestamp': 1697363617.664928}
{'type': 'down', 'input': 'space', 'position': Point(x=763, y=330), 'timestamp': 1697363617.7193744}
{'type': 'up', 'input': None, 'position': Point(x=763, y=330), 'timestamp': 1697363617.7253752}
{'type': 'down', 'input': 'v', 'position': Point(x=763, y=330), 'timestamp': 1697363617.8101006}
{'type': 'up', 'input': None, 'position': Point(x=763, y=330), 'timestamp': 1697363617.8322904}
{'type': 'down', 'input': 'm', 'position': Point(x=763, y=330), 'timestamp': 1697363617.897419}
{'type': 'up', 'input': None, 'position': Point(x=763, y=330), 'timestamp': 1697363617.9179738}
{'type': 'up', 'input': None, 'position': Point(x=763, y=330), 'timestamp': 1697363617.9783437}
{'type': 'down', 'input': 'f', 'position': Point(x=763, y=330), 'timestamp': 1697363618.0038884}
{'type': 'up', 'input': None, 'position': Point(x=763, y=330), 'timestamp': 1697363618.0851066}
{'type': 'down', 'input': 'h', 'position': Point(x=763, y=330), 'timestamp': 1697363618.0901635}
{'type': 'up', 'input': None, 'position': Point(x=763, y=330), 'timestamp': 1697363618.1599529}
{'type': 'down', 'input': 'r', 'position': Point(x=763, y=330), 'timestamp': 1697363618.1873448}
{'type': 'up', 'input': None, 'position': Point(x=763, y=330), 'timestamp': 1697363618.2569127}
