{'type': 'down', 'input': 'z', 'position': (1431, 694), 'timestamp': 1697519523.2809105}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519523.3926535}
{'type': 'down', 'input': 'z', 'position': (1431, 694), 'timestamp': 1697519524.306935}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519524.4294684}
{'type': 'down', 'input': 'z', 'position': (1431, 694), 'timestamp': 1697519525.4137654}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519525.5047858}
{'type': 'down', 'input': 'g', 'position': (1431, 694), 'timestamp': 1697519526.5805883}
{'type': 'down', 'input': 't', 'position': (1431, 694), 'timestamp': 1697519526.7529979}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519526.833627}
{'type': 'down', 'input': 'f', 'position': (1431, 694), 'timestamp': 1697519526.8391469}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519527.006194}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519527.01583}
{'type': 'down', 'input': 'g', 'position': (1431, 694), 'timestamp': 1697519527.0383158}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519527.1828315}
{'type': 'down', 'input': 'f', 'position': (1431, 694), 'timestamp': 1697519527.193834}
{'type': 'down', 'input': 'g', 'position': (1431, 694), 'timestamp': 1697519527.3228061}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519527.366047}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519527.446774}
{'type': 'down', 'input': 'h', 'position': (1431, 694), 'timestamp': 1697519527.4477632}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519527.5698159}
{'type': 'down', 'input': 'f', 'position': (1431, 694), 'timestamp': 1697519527.585822}
{'type': 'down', 'input': 'g', 'position': (1431, 694), 'timestamp': 1697519527.7048628}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519527.7198656}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519527.795755}
